ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2
P171,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P172,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P173,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1500
P174,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2000
P175,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1600
P176,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,3000
P177,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P178,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2800
P179,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2000
P180,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2000
P181,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2000
P182,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2000
P183,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2000
P184,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P185,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P186,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P187,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P188,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2600
P189,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P190,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1000
P191,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1200
P192,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2000
P193,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2400
P194,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,2400
P195,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,0,0,0,1200
P196,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,15,18,0,15,18,0,0,0,0,1200
P197,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,15,18,0,15,18,0,0,0,0,1200
P198,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,15,18,0,15,18,0,0,0,0,1200
P199,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,25,30,0,25,30,0,0,0,0,2000
P200,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,60,72,0,60,72,0,0,0,0,4800
P201,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,25,30,0,25,30,0,0,0,0,2000
P202,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,25,30,0,25,30,0,0,0,0,2000
P203,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,25,30,0,25,30,0,0,0,0,2000
P204,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,200,240,0,200,240,0,0,0,0,16000
P205,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,15,18,0,15,18,0,0,0,0,1200
P206,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,40,48,0,40,48,0,0,0,0,3200
P207,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,15,18,0,15,18,0,0,0,0,1200
P208,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,25,30,0,25,30,0,0,0,0,2000
P209,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,25,30,0,25,30,0,0,0,0,2000
P210,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,25,30,0,25,30,0,0,0,0,2000
P211,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,75,90,0,75,90,0,0,0,0,6000
P212,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,15,18,0,15,18,0,0,0,0,1200
P213,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,PADI,70,84,0,70,84,0,0,0,0,5600
