ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_ha,Final_Status,Prioritas,Rekomendasi,Action_Plan
P123,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.16,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P124,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P125,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,1.2,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P126,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P127,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.8,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P128,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P129,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P130,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.24,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P131,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P132,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P133,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P134,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P135,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P136,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P137,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.48,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P138,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.06,Normal,Sedang,🎯 Cluster 0 | ⚠️ Luas sangat kecil - verifikasi pengukuran,Cek kembali data luas lahan
P139,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P140,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.38,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P141,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P142,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P143,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.16,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P144,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P145,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.1,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P146,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
